Giá,Diện tích,Đường,Phường,Quận,Thành phố,Loại BDS,Chiều ngang,Chiều dài,Hướng,Đường trước nhà,Số lầu,Số phòng ngủ,Phòng ăn,Nhà bếp,Sân thượng,Chỗ để xe hơi,Chính chủ
2.15,32.0,Đường Hùng Vương,Phường Thạc Gián,Quận Thanh Khê,Đà Nẵng,Nhà trong hẻm,4.0,18.0,_,2.5,2,2,1,1,1,0,0
7.4,100.0,Đường Cồn Dầu 24,Phường Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng,Nhà trong hẻm,5.0,18.0,_,7.5,3,3,1,1,1,1,0
6.7,83.0,Đường Lưu Quang Thuận,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,6.0,18.0,_,5.0,1,2,1,1,1,1,0
6.2,70.0,Đường Mỹ Đa Đông 2,Phường An Hải Tây,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.0,18.0,_,5.5,1,2,1,1,1,1,0
9.9,270.0,Đường Bàu Trảng 1,Phường Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,6.7,41.0,_,5.5,2,3,1,1,1,1,0
7.1,125.0,Đường Đa Mặn 7,Phường Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,25.0,Tây Nam,7.5,1,2,0,0,0,0,0
3.9,40.0,Đường Quang Trung,Phường Thạch Thang,Quận Hải Châu,Đà Nẵng,Nhà trong hẻm,5.0,8.0,Tây,2.0,1,1,0,0,0,0,0
1.86,67.0,Đường Đồng Kè,Phường Hòa Khánh Bắc,Quận Liên Chiểu,Đà Nẵng,Nhà trong hẻm,5.0,12.0,Tây Bắc,2.0,1,4,0,0,0,0,0
5.95,64.0,Đường Lý Đạo Thành,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.4,18.0,_,7.5,2,2,1,1,1,1,0
27.0,528.0,Đường Ngũ Hành Sơn,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,13.5,39.0,_,6.0,3,20,1,1,1,1,0
26.17,100.0,Đường Phan Tôn,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,15.5,6.5,_,7.5,3,3,1,1,1,1,0
5.9,76.0,Đường Huy Cận,Phường Hòa Cường Nam,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,4.5,18.0,_,5.5,2,4,0,0,0,0,0
7.6,91.0,Đường Bà Huyện Thanh Quan,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,7.7,12.0,_,5.0,1,2,1,1,0,1,0
3.9,112.0,Đường Bùi Xương Tự,Phường Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,6.0,19.0,_,7.5,3,4,0,0,0,0,0
17.3,92.0,Đường Đặng Tử Kính,Phường Thạch Thang,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,19.0,5.0,_,10.0,3,4,0,0,0,0,0
4.1,56.0,Đường Nại Nghĩa 4,Phường Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.0,14.0,_,5.0,2,2,0,0,0,0,0
4.75,100.0,Đường Trần Lựu,Phường Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,5.0,20.0,Tây,5.5,2,3,0,0,0,0,0
3.9,112.0,Đường Bùi Xương Tự,Phường Hòa Thọ Đông,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,6.0,19.0,_,7.5,3,4,0,0,0,0,0
17.3,92.0,Đường Đặng Tử Kính,Phường Thạch Thang,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,19.0,5.0,_,10.0,3,4,0,0,0,0,0
4.75,100.0,Đường Trần Lựu,Phường Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,5.0,20.0,Tây,5.5,2,3,0,0,0,0,0
4.1,56.0,Đường Nại Nghĩa 4,Phường Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.0,14.0,_,5.0,2,2,0,0,0,0,0
7.5,126.0,Đường Phan Bá Phiến,Phường Thọ Quang,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,25.0,_,10.0,1,5,0,0,0,0,0
13.0,190.0,Đường Lương Thế Vinh,Phường An Hải Nam,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.0,47.0,_,6.0,1,4,0,0,0,0,0
14.6,97.0,Đường Núi Thành,Phường Hòa Thuận Đông,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,5.0,19.0,_,10.0,4,6,0,0,0,0,0
12.5,95.0,Đường Núi Thành,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,Nhà trong hẻm,5.0,18.0,_,10.0,3,5,0,0,0,0,0
12.9,155.0,Đường Nguyễn Duy Hiệu,Phường An Hải Nam,Quận Sơn Trà,Đà Nẵng,Nhà trong hẻm,6.0,25.0,_,4.0,3,3,0,0,0,0,0
6.7,83.0,Đường Lưu Quang Thuận,Phường Hòa Hải,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,6.0,15.0,_,5.0,1,3,0,0,0,0,0
7.6,90.0,Đường Chế Lan Viên,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,7.7,18.0,_,5.0,1,3,0,0,0,1,0
11.6,96.0,Đường Bà Huyện Thanh Quan,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,7.5,3,5,1,1,1,1,0
5.6,80.0,Đường Chế Lan Viên,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,4.0,18.0,_,5.0,2,3,1,1,1,1,0
5.3,56.0,Đường An Mỹ,Quận Sơn Trà,Đà Nẵng,,Nhà mặt tiền,4.0,14.0,_,5.0,2,3,1,1,0,1,0
8.9,75.0,Đường Dương Trí Trạch,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,15.0,_,5.5,3,3,1,1,1,1,0
6.0,76.0,Đường Hoàng Diệu,Phường Bình Thuận,Quận Hải Châu,Đà Nẵng,Nhà trong hẻm,5.0,18.0,_,6.0,3,4,1,1,1,1,0
15.5,131.0,Đường Phan Thúc Duyện,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,6.5,18.0,_,5.5,5,24,0,0,0,0,0
27.2,224.0,Đường Đa Mặn,Phường Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,8.0,18.0,_,7.5,6,35,0,0,0,0,0
55.0,500.0,Đường Nguyễn Thức Tự,Phường Hòa Hải,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,20.0,18.0,_,7.5,7,122,0,0,0,0,0
7.5,64.0,Đường Lý Đạo Thành,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.4,18.0,_,10.0,3,3,1,1,1,1,0
26.0,203.0,Đường Núi Thành,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,12.0,18.0,_,15.0,1,3,0,0,0,0,0
6.6,125.0,Đường Bàu Mạc 5,Phường Hòa Khánh Bắc,Quận Liên Chiểu,Đà Nẵng,Nhà mặt tiền,5.0,25.0,Tây Nam,5.5,3,15,0,0,0,0,0
8.5,60.0,Đường Ngô Quyền,Phường An Hải Nam,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.0,12.0,_,30.0,3,5,1,1,1,1,0
11.6,100.0,Đường Chế Lan Viên,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,20.0,_,5.0,3,3,1,1,1,1,0
11.6,100.0,Đường Chế Lan Viên,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,20.0,_,5.0,3,3,1,1,1,1,0
11.6,100.0,Đường Chế Lan Viên,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,20.0,_,5.0,3,3,1,1,1,1,0
5.2,100.0,Đường Chính Hữu,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà trong hẻm,5.0,19.0,_,3.0,2,3,1,1,1,1,0
6.54,86.0,Đường Hoà Minh 23,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,Nhà mặt tiền,5.0,17.0,_,5.5,3,4,0,0,0,0,0
7.6,90.0,Đường Bà Huyện Thanh Quan,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,5.0,1,2,0,0,0,0,0
17.9,103.0,Đường Ngô Thì Sĩ,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,7.5,1,1,0,0,0,0,0
7.5,118.0,Đường Hoàng Dư Khương,Phường Khuê Trung,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,5.0,23.5,Bắc,7.5,4,6,0,0,0,0,0
25.8,110.0,Đường Mỹ Đa Đông 11,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,10.0,11.0,_,7.5,5,10,0,0,0,0,0
16.8,135.0,Đường Phan Thúc Duyện,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,6.0,22.0,_,6.0,5,12,1,1,1,1,0
4.8,82.0,Đường Điện Biên Phủ,Phường Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng,Nhà trong hẻm,6.0,18.0,_,3.0,3,3,1,0,1,0,0
29.7,220.0,Đường Chính Hữu,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,12.7,20.0,_,33.0,1,1,0,0,0,0,0
6.8,95.0,Đường Tuy Lý Vương,Phường Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,19.0,_,7.5,2,3,1,1,1,1,0
7.6,91.0,Đường Bà Huyện Thanh Quan,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,7.0,13.0,_,5.0,1,2,1,1,0,1,0
22.0,180.0,Đường Lê Thước,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,10.0,18.0,_,75.0,1,1,1,1,1,1,0
19.8,120.0,Đường An Thượng 24,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,10.0,18.0,_,75.0,1,1,1,1,1,1,0
52.0,500.0,Đường 2/9,Phường Hòa Cường Nam,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,20.0,18.0,_,33.0,18,100,1,1,1,1,0
52.0,500.0,Đường 2/9,Phường Hòa Cường Nam,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,20.0,18.0,_,33.0,18,100,1,1,1,1,0
9.2,100.0,Đường An Thượng 16,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,15.0,18.0,_,7.0,2,3,1,1,1,1,0
6.9,77.0,Đường Phùng Khắc Khoan,Phường An Hải Tây,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.5,18.0,_,5.5,2,3,0,0,0,0,0
6.0,70.0,Đường Tiểu La,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,5.0,14.0,_,7.5,2,3,1,1,1,1,0
7.5,56.0,Đường An Cư 1,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.0,18.0,_,5.5,4,4,0,0,0,0,0
10.8,80.0,Đường Hồ Thấu,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,16.0,_,10.0,3,3,1,1,1,1,0
6.8,95.0,Đường Tuy Lý Vương,Phường Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,19.0,_,7.5,2,3,1,1,1,1,0
6.1,56.0,Đường An Cư 1,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.0,18.0,_,5.5,2,3,1,1,1,1,0
4.75,100.0,Đường Trần Lựu,Phường Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,5.0,18.0,Tây,6.0,2,3,1,0,1,0,0
1.57,55.0,Đường Mẹ Suốt,Phường Hòa Khánh Nam,Quận Liên Chiểu,Đà Nẵng,Nhà trong hẻm,5.0,11.0,_,3.0,1,2,0,0,0,0,0
20.0,235.0,Đường Trần Trọng Khiêm,Phường Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,14.0,18.0,_,11.0,3,4,0,0,0,0,0
4.95,110.0,Đường Trung Hòa 1,Phường Hòa Quý,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,7.5,2,3,0,0,0,0,0
5.1,113.0,Đường Hải Phòng,Phường Chính Gián,Quận Thanh Khê,Đà Nẵng,Nhà trong hẻm,6.7,18.0,_,5.0,2,2,0,0,0,0,0
7.2,118.0,Đường Phạm Cự Lượng,Phường An Hải Tây,Quận Sơn Trà,Đà Nẵng,Nhà trong hẻm,5.6,20.0,_,4.0,1,1,0,0,0,0,0
5.9,125.0,Đường Nguyễn Công Hoan,Phường Hòa An,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,6.5,19.5,_,7.5,2,3,1,1,1,1,0
4.4,73.0,Đường Trưng Nữ Vương,Phường Bình Hiên,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,1.0,73.0,_,10.0,2,2,1,1,1,1,0
4.8,78.0,Đường Tô Hiệu,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,Nhà mặt tiền,8.0,9.75,_,7.5,1,1,1,1,0,1,0
3.45,91.0,Đường Tô Hiệu,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,Nhà mặt tiền,5.1,18.0,_,7.5,1,1,1,1,0,1,0
4.45,56.0,Đuờng Hoàng Tích Trí,Phường Hải Châu,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,4.5,13.0,_,5.5,1,2,0,0,0,0,0
9.9,210.0,Đường Hà Đông 3,Phường Xuân Hà,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,10.0,21.0,Tây,5.5,1,3,0,0,0,0,0
14.0,125.0,Đường Huỳnh Tấn Phát,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,6.0,20.0,_,105.0,3,4,1,1,1,1,0
16.5,98.0,Đường Nguyễn Văn Thoại,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.0,22.0,_,15.0,3,4,1,1,1,1,0
16.0,174.0,Đường Hoàng Diệu,Phường Hòa Thuận Đông,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,4.0,44.0,_,1.0,1,2,1,1,1,1,0
15.6,62.0,Đường Hoàng Diệu,Phường Nam Dương,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,5.5,12.0,_,105.0,6,5,1,1,1,1,0
28.0,504.0,Đường Ngũ Hành Sơn,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,13.0,32.0,_,6.0,2,5,1,1,1,1,0
2.65,69.0,Đường Dũng Sĩ Thanh Khê,Phường Thanh Khê Tây,Quận Thanh Khê,Đà Nẵng,Nhà trong hẻm,5.0,18.0,_,3.0,1,2,1,0,1,0,0
8.6,62.0,Đường Núi Thành,Phường Hòa Cường Nam,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,4.8,14.0,_,33.0,3,2,0,0,0,0,0
4.85,122.0,Đường Hoàng Diệu,Phường Hải Châu,Quận Hải Châu,Đà Nẵng,Nhà trong hẻm,5.0,18.0,_,3.0,2,3,1,1,1,0,0
18.5,86.0,Đường Hàm Nghi,Phường Thạc Gián,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,4.5,19.0,Đông,15.0,2,3,1,1,1,1,0
23.5,130.0,hải phòng,thạch thang,hải châu Đường Hải Phòng,Phường Thạch Thang,Nhà mặt tiền,5.0,26.0,Bắc,10.0,3,3,1,1,1,1,0
43.0,343.0,Đường Núi Thành,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,10.6,34.0,_,15.0,1,1,0,0,0,0,0
10.95,95.0,Đường Trưng Nữ Vương,Phường Phước Ninh,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,11.0,5,6,0,0,0,0,0
5.2,68.0,Đường An Thượng 18,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,6.0,2,2,0,0,0,0,0
6.7,79.0,Đường Tiên Sơn 8,Phường Hòa Cường Nam,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,5.5,3,4,0,0,0,0,0
16.5,112.0,Đường Trần Văn Dư,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,7.5,3,5,0,0,0,0,0
9.5,100.0,Đường Hoàng Công Chất,Phường Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,5.5,9,9,0,0,0,0,0
,100.0,Đường Trần Văn Dư,Phường Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,20.0,_,5.5,5,5,0,0,0,0,0
2.95,74.0,Đường Điện Biên Phủ,Phường Chính Gián,Quận Thanh Khê,Đà Nẵng,Nhà trong hẻm,5.0,18.0,_,2.0,3,3,0,0,0,0,0
12.0,160.0,Đường Lê Văn Hiến,Phường Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,5.5,3,5,1,1,1,1,0
16.8,150.0,Đường Trần Thánh Tông,Phường Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,7.5,20.0,_,105.0,3,5,0,0,0,0,0
4.9,90.0,Đường Hòa Nam 11,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,Nhà mặt tiền,18.0,5.0,_,5.5,3,3,1,1,1,1,0
3.65,96.0,Đường Núi Thành,Phường Hải Châu,Quận Hải Châu,Đà Nẵng,Nhà trong hẻm,5.0,18.0,_,,1,2,0,0,0,0,0
2.55,139.0,Đường Bình Kỳ,Phường Hòa Quý,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,5.0,18.0,_,,1,3,0,0,0,0,0
4.69,79.0,Đường Phạm Bành,Phường Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,5.0,15.8,Tây,5.5,3,3,1,1,1,1,0
6.7,87.0,Đường Lưu Quang Thuận,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,6.1,18.0,_,5.0,1,1,1,1,1,1,0
5.8,76.0,Đường Huy Cận,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,4.5,17.0,_,5.5,2,4,1,1,1,1,0
17.0,85.0,Đường Triệu Nữ Vương,Phường Hải Châu,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,6.3,18.0,_,7.5,3,4,0,0,0,0,0
5.8,106.0,Đường Đoàn Hữu Trưng,Phường Hòa An,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,7.5,3,4,0,0,0,0,0
6.95,103.0,Đường Đa Phước 9,Phường Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,6.0,18.0,_,7.5,3,3,0,0,0,0,0
5.2,95.0,Đường Chính Hữu,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà trong hẻm,5.0,18.0,_,3.0,2,3,0,0,0,0,0
3.6,71.0,Đường Phan Thanh,Phường Thạc Gián,Quận Thanh Khê,Đà Nẵng,Nhà trong hẻm,5.0,18.0,_,3.0,1,2,0,0,0,0,0
2.3,100.0,Đường Bùi Xương Trạch,Phường Khuê Trung,Quận Cẩm Lệ,Đà Nẵng,Nhà trong hẻm,5.0,20.0,Nam,2.5,1,3,1,1,0,0,0
8.5,70.0,Đường Mai Thúc Lân,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,4.7,15.0,_,6.0,3,3,1,1,1,1,0
8.58,100.0,Đường Đỗ Huy Uyển,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,7.5,3,3,0,0,0,0,0
7.3,80.0,Đường Tân An 4,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,7.5,3,3,0,0,0,0,0
8.5,75.0,Đường Dương Trí Trạch,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,5.5,3,4,0,0,0,0,0
10.9,87.0,Đường Tạ Mỹ Duật,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,5.5,4,4,0,0,0,0,0
3.6,60.0,Đường Đặng Thái Thân,Phường Hòa Hải,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,7.5,8.0,_,6.0,2,2,1,1,0,1,0
7.2,65.0,Đường Hà Bổng,Phường An Hải Nam,Quận Sơn Trà,Đà Nẵng,Nhà trong hẻm,4.5,13.0,_,5.5,2,3,1,1,1,1,0
3.15,100.0,Đường Vũ Miên,Xã Hòa Phước,Huyện Hòa Vang,Đà Nẵng,Nhà mặt tiền,5.0,20.0,Tây,5.5,1,2,0,0,0,0,0
11.8,90.0,Đường Đỗ Quang,Phường Vĩnh Trung,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,5.0,17.5,_,8.0,3,5,1,1,1,1,0
5.5,51.0,Đường Đỗ Quang,Phường Vĩnh Trung,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,4.0,12.8,_,6.0,3,3,1,1,1,1,0
15.5,155.0,Đường Khúc Hạo,Phường Nại Hiên Đông,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,8.0,20.0,Tây Nam,11.0,3,4,1,1,1,1,0
8.0,116.0,Đường Trường Chinh,Phường An Khê,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,6.8,17.0,Tây Nam,30.0,3,4,1,1,1,1,0
18.3,230.0,Đường Trần Văn Dư,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,8.5,27.0,Bắc,7.0,---,8,0,0,0,0,0
18.3,184.0,Đường Nguyễn Duy Hiệu,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,8.0,22.0,Bắc,7.0,---,4,1,1,1,1,0
19.5,267.0,Đường Mỹ Đa Đông 12,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,10.0,27.0,Nam,4.0,---,10,1,1,1,1,0
6.5,70.0,Đường Phan Trọng Tuệ,Phường Hòa Cường Nam,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,5.5,3,3,1,1,0,1,0
14.5,96.0,122 Đường Ông Ích Khiêm,Phường Thạch Thang,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,4.0,24.0,_,7.5,3,4,1,1,1,1,0
7.9,130.0,Đường Trần Quang Khải,Phường Thọ Quang,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,6.0,22.0,_,10.0,1,1,0,0,0,0,0
19.0,131.0,66 Đường Mỹ Khê 7,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,6.2,22.0,Đông,5.5,3,4,1,1,1,1,0
6.45,90.0,Đường Trương Văn Hiến,Phường Khuê Mỹ,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,18.0,Tây Bắc,7.5,2,3,1,1,1,1,0
2.45,61.0,Đường Tôn Đức Thắng,Phường Hòa Khánh Nam,Quận Liên Chiểu,Đà Nẵng,Nhà trong hẻm,9.9,6.5,_,4.0,1,4,1,1,0,0,0
4.95,110.0,Đường Trung Hòa 1,Phường Hòa Quý,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,22.0,Tây Nam,7.5,2,4,0,0,0,0,0
6.8,66.0,Đường Võ Văn Kiệt,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.4,15.0,_,4.0,2,2,0,0,0,0,0
5.8,120.0,Đường Phó Đức Chính,Phường Mân Thái,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,3.6,34.0,_,7.5,3,3,0,0,0,0,0
13.8,139.0,Đường Nguyễn Văn Thoại,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,7.6,20.0,_,10.0,1,2,0,0,0,0,0
3.15,100.0,Đường Vũ Miên,Xã Hòa Phước,Huyện Hòa Vang,Đà Nẵng,Nhà mặt tiền,5.0,20.0,Tây,5.5,1,2,0,0,0,0,0
5.1,76.0,Đường Nguyễn Huy Tự,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,Nhà mặt tiền,4.5,17.2,_,5.5,3,3,0,0,0,0,0
12.5,110.0,Đường An Dương Vương,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,22.0,_,10.0,3,7,0,0,0,0,0
5.1,76.0,Đường Nguyễn Huy Tự,Phường Hòa Minh,Quận Liên Chiểu,Đà Nẵng,Nhà mặt tiền,4.5,17.2,_,5.5,3,3,0,0,0,0,0
12.5,110.0,Đường An Dương Vương,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,22.0,_,10.0,3,7,0,0,0,0,0
5.5,100.0,Đường Hoàng Đình Ái,Phường Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,5.0,20.0,Tây,7.5,3,3,0,0,0,0,0
12.5,114.0,Đường Lương Thế Vinh,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.1,24.0,_,7.5,1,3,0,0,0,0,0
5.5,88.0,Đường Tiểu La,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,Nhà trong hẻm,5.0,17.0,Nam,5.5,3,5,1,1,1,1,0
14.9,86.0,Đường Lý Văn Tố,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,17.2,_,7.5,3,3,0,0,0,0,0
7.2,68.0,Đường Tiên Sơn 14,Phường Hòa Cường Nam,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,4.2,16.2,Đông Nam,5.0,4,7,0,0,1,0,0
12.0,110.0,Đường An Dương Vương,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,5.0,22.0,_,20.0,3,5,0,0,0,0,0
6.59,86.0,Đường Bế Văn Đàn,Phường Thanh Khê Đông,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,5.0,17.2,_,5.5,3,4,1,1,1,1,0
7.0,64.0,Đường Lý Đạo Thành,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.4,15.0,_,7.5,3,4,0,0,0,0,0
