Giá,Diện tích,Đường,Phường,Quận,Thành phố,Loại BDS,Chiều ngang,Chiều dài,Hướng,Đường trước nhà,Số lầu,Số phòng ngủ,Phòng ăn,Nhà bếp,Sân thượng,Chỗ để xe hơi,Chính chủ
7.2,100.0,Đường Ngô Quyền,Phường Mân Thái,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,20.0,Tây,10.0,3,2,0,0,0,0,0
12.9,154.0,Đường Nguyễn Duy Hiệu,Quận Sơn Trà,Đà Nẵng,,Nhà mặt tiền,5.7,18.0,_,5.0,3,3,0,0,0,0,0
6.6,86.0,Đường Bế Văn Đàn,Phường Tân Chính,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,7.5,3,4,0,0,0,0,0
20.5,1.0,Đường Phước Trường,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,10.0,18.5,_,5.5,---,---,0,0,0,0,0
7.4,76.0,Đường Mỹ Đa Đông 3,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,4.5,18.0,_,5.5,11,1,0,0,0,1,0
15.0,125.0,Đường Hà Đặc,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,8.0,18.0,_,5.5,1,1,0,0,0,1,0
12.2,100.0,Đường Bùi Thị Xuân,Phường An Hải Nam,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,7.0,18.0,_,7.5,4,4,0,0,0,0,0
3.55,60.0,Đường Đặng Thái Thân,Phường Hòa Hải,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,7.5,8.0,_,6.0,2,2,1,1,0,0,0
29.0,320.0,Đường Nguyễn Tri Phương,Phường Thạc Gián,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,10.0,18.0,_,35.0,2,3,1,1,1,1,0
15.7,135.0,Đường Trần Khánh Dư,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà mặt tiền,6.5,18.0,_,7.0,5,23,1,1,1,1,0
20.5,245.0,Đường Võ Nguyên Giáp,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,8.2,30.0,_,5.0,1,2,0,0,0,0,0
5.8,76.0,Đường Huy Cận,Phường Khuê Trung,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,4.5,17.0,_,5.5,2,4,0,0,0,0,0
15.6,62.0,Đường Hoàng Diệu,Phường Nam Dương,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,10.0,6,5,1,1,1,1,0
23.5,151.0,Đường Hải Phòng,Phường Thạch Thang,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,7.3,17.0,_,20.0,3,4,0,0,0,0,0
10.8,400.0,Đường Phan Đình Phùng,Phường Hải Châu,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,3.0,3,---,1,1,0,0,0
3.7,528.0,Quốc lộ 14G,Xã Hòa Phong,Huyện Hòa Vang,Đà Nẵng,Nhà mặt tiền,12.0,44.0,_,,---,3,0,0,0,0,1
16.5,80.0,Đường Dương Tự Minh,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,16.0,_,10.0,5,7,0,0,0,0,0
13.9,85.0,Đường 2/9,Phường Hòa Thuận Đông,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,5.0,13.0,_,33.0,4,5,1,1,1,1,0
8.95,225.0,Đường Ngô Quyền,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,16.0,_,48.0,4,5,1,0,1,0,0
5.8,76.0,Đường Huy Cận,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,4.5,18.0,_,5.5,2,4,1,1,1,1,0
6.0,112.0,Đường Đỗ Thúc Tịnh,Phường Khuê Trung,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,7.5,2,3,1,1,1,1,0
12.9,154.0,Đường Nguyễn Duy Hiệu,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà trong hẻm,5.7,18.0,_,6.0,3,6,0,0,0,0,0
7.5,90.0,Đường Chế Lan Viên,Phường Mỹ An,Quận Ngũ Hành Sơn,Đà Nẵng,Nhà trong hẻm,8.5,10.5,_,5.0,---,3,1,1,0,1,0
4.25,91.0,Đường Bình Thái 2,Phường Khuê Trung,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,4.5,18.0,_,5.5,2,3,0,0,0,0,0
9.6,74.0,Đường Lương Nhữ Hộc,Phường Khuê Trung,Quận Cẩm Lệ,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,7.5,4,4,0,0,0,0,0
52.0,234.0,Đường Lê Mạnh Trinh,Phường Phước Mỹ,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,5.5,5,16,0,0,0,0,0
4.95,54.0,Đường Ông Ích Khiêm,Phường Thanh Bình,Quận Hải Châu,Đà Nẵng,Nhà trong hẻm,4.2,18.0,_,2.5,4,3,0,0,0,0,0
9.3,106.0,Đường Trần Cao Vân,Phường Xuân Hà,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,4.12,18.0,_,10.0,3,5,1,1,1,1,0
5.0,45.0,Đường Thanh Thủy,Phường Thanh Bình,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,4.0,11.0,_,7.5,4,3,1,1,1,1,0
5.3,144.0,Đường Phú Lộc 19,Phường Thanh Khê Tây,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,8.0,18.0,_,5.0,---,---,0,0,0,0,0
11.5,105.0,Đường Trần Cao Vân,Phường Xuân Hà,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,5.4,19.2,Đông Nam,10.0,3,3,1,1,1,1,0
5.0,90.0,dương bích liên,hoà minh,liên chiểu Đường Dương Bích Liên,Phường Hòa Minh,Nhà mặt tiền,5.0,18.0,Đông Bắc,5.5,3,4,1,1,1,1,0
23.5,150.0,Đường Hải Phòng,Phường Thạch Thang,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,7.5,17.0,Bắc,10.0,3,3,1,1,1,1,0
6.8,71.0,Đường Phạm Vấn,Phường Mân Thái,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,4.5,16.0,_,7.5,3,3,0,0,0,0,0
4.5,60.0,Đường Đặng Thùy Trâm,Phường Hòa Thuận Tây,Quận Hải Châu,Đà Nẵng,Nhà trong hẻm,5.0,18.0,_,3.5,3,3,0,0,0,0,0
13.5,90.0,Đường 2/9,Phường Hòa Thuận Đông,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,5.0,19.0,_,27.0,4,4,0,0,0,0,0
,70.0,Đường Tiểu La,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,5.0,14.0,_,5.5,2,3,1,1,1,1,0
19.0,110.0,Đường Lê Duẩn,Phường Tân Chính,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,15.0,3,4,1,1,1,1,0
6.6,86.0,Đường Bế Văn Đàn,Phường Chính Gián,Quận Thanh Khê,Đà Nẵng,Nhà mặt tiền,5.0,18.0,_,6.0,3,4,0,0,0,0,0
11.5,150.0,Đường Thân Cảnh Phúc,Phường Hòa Cường Bắc,Quận Hải Châu,Đà Nẵng,Nhà mặt tiền,9.0,18.0,_,6.0,3,3,0,0,0,0,0
23.0,230.0,Đường Trương Định,Phường Mân Thái,Quận Sơn Trà,Đà Nẵng,Nhà mặt tiền,16.0,18.0,_,7.0,1,2,0,0,0,0,0
